,gender,purchases,job_title,job_industry_category,wealth_segment,owns_car,tenure,address,postcode,state,country,property_valuation,Rank,Value,Age
37,Male,58,,Manufacturing,Mass Customer,No,15,240 Acker Avenue,3190,VIC,Australia,8,38,1.4375,43.0
38,Male,44,,Property,Mass Customer,Yes,13,04 Dexter Way,3280,VIC,Australia,2,38,1.4375,67.0
39,Male,64,,Manufacturing,Affluent Customer,Yes,8,011 Northland Trail,2160,NSW,Australia,9,40,1.434375,29.0
40,Female,73,,Health,High Net Worth,No,10,8 Grayhawk Circle,2756,NSW,Australia,8,40,1.434375,69.0
41,Female,24,Design Engineer,Financial Services,Mass Customer,No,3,44 Darwin Lane,3149,VIC,Australia,10,42,1.421875,37.0
42,Female,79,,Retail,Mass Customer,No,8,2548 Arrowood Pass,2024,NSW,Australia,10,42,1.421875,76.0
43,Female,52,Design Engineer,,Affluent Customer,No,9,938 Ilene Road,2761,NSW,Australia,8,44,1.42109375,56.0
44,Male,76,,,High Net Worth,No,6,6 Melby Center,3027,VIC,Australia,5,44,1.42109375,61.0
45,Female,29,Business Systems Development Analyst,Retail,High Net Worth,Yes,5,08708 Moulton Park,2034,NSW,Australia,12,46,1.4078125,66.0
46,Female,14,Paralegal,Financial Services,Affluent Customer,Yes,19,306 Clemons Junction,4852,QLD,Australia,1,46,1.4078125,66.0
47,Female,85,VP Quality Control,,High Net Worth,Yes,14,18 Grim Road,4305,QLD,Australia,4,46,1.4078125,28.0
48,Female,59,Cost Accountant,Financial Services,Mass Customer,Yes,17,169 Bashford Drive,3741,VIC,Australia,7,46,1.4078125,45.0
49,Male,12,Product Engineer,Argiculture,Mass Customer,No,20,3 Vermont Lane,2067,NSW,Australia,12,50,1.40625,72.0
50,Male,60,,Manufacturing,Affluent Customer,No,10,998 Gale Park,3174,VIC,Australia,8,50,1.40625,44.0
51,Male,62,Paralegal,Financial Services,Affluent Customer,Yes,5,64 Mcguire Trail,4017,QLD,Australia,8,52,1.39453125,23.0
52,Male,55,Social Worker,Health,High Net Worth,Yes,11,74127 Blaine Point,3805,VIC,Australia,7,52,1.39453125,29.0
53,Female,97,,Property,Mass Customer,No,8,31756 Meadow Valley Lane,2232,NSW,Australia,10,54,1.38125,41.0
54,Female,87,Payment Adjustment Coordinator,Retail,Mass Customer,No,16,293 Mayfield Street,3166,VIC,Australia,10,54,1.38125,27.0
55,Female,52,Marketing Assistant,Manufacturing,Mass Customer,No,9,261 Grayhawk Way,2226,NSW,Australia,10,54,1.38125,41.0
56,Male,75,Recruiter,Argiculture,Mass Customer,No,12,2 Schlimgen Terrace,2750,NSW,Australia,8,57,1.375,43.0
57,Female,51,VP Product Management,,Mass Customer,No,14,76733 Sunbrook Terrace,3196,VIC,Australia,9,57,1.375,50.0
58,Male,64,Media Manager III,,Mass Customer,Yes,8,683 Florence Way,3156,VIC,Australia,5,57,1.375,56.0
59,U,5,Associate Professor,IT,Mass Customer,No,4,7232 Fulton Parkway,3810,VIC,Australia,5,57,1.375,
60,Male,47,Cost Accountant,Financial Services,High Net Worth,Yes,17,06936 Bobwhite Circle,2257,NSW,Australia,7,57,1.375,39.0
61,Male,31,Developer I,Argiculture,Mass Customer,Yes,9,283 Acker Drive,2763,NSW,Australia,9,62,1.36796875,51.0
62,Male,59,Senior Financial Analyst,Financial Services,High Net Worth,No,11,9 Mosinee Parkway,2072,NSW,Australia,10,62,1.36796875,80.0
63,Female,70,Electrical Engineer,Manufacturing,High Net Worth,Yes,17,45 Becker Place,4504,QLD,Australia,6,62,1.36796875,55.0
64,Female,22,Accountant IV,IT,High Net Worth,Yes,7,27 Karstens Crossing,4214,QLD,Australia,7,65,1.3625,23.0
65,Female,58,Human Resources Manager,Retail,High Net Worth,No,12,9630 Cottonwood Avenue,2168,NSW,Australia,8,65,1.3625,39.0
66,Female,69,Executive Secretary,Property,Affluent Customer,Yes,5,989 Graedel Terrace,4208,QLD,Australia,11,65,1.3625,26.0
67,Female,54,Account Representative I,Manufacturing,Affluent Customer,Yes,16,76 Bartelt Center,4078,QLD,Australia,7,68,1.3546875,38.0
68,Male,62,Executive Secretary,Financial Services,High Net Worth,Yes,3,29778 Mendota Drive,4036,QLD,Australia,5,68,1.3546875,23.0
69,Female,82,Associate Professor,,High Net Worth,Yes,6,69 Algoma Center,4173,QLD,Australia,7,68,1.3546875,34.0
70,Female,11,Dental Hygienist,Health,High Net Worth,Yes,13,8288 Lyons Way,2484,NSW,Australia,7,68,1.3546875,26.0
71,Female,78,GIS Technical Architect,Financial Services,Mass Customer,No,9,4185 Florence Trail,2121,NSW,Australia,10,72,1.35,28.0
72,Female,73,Assistant Professor,Financial Services,High Net Worth,No,15,9608 Heffernan Drive,4068,QLD,Australia,9,72,1.35,23.0
73,Male,5,Mechanical Systems Engineer,,High Net Worth,No,15,9 Union Center,2147,NSW,Australia,9,72,1.35,54.0
74,Female,76,,Financial Services,Affluent Customer,Yes,19,800 Emmet Park,2219,NSW,Australia,9,72,1.35,64.0
75,Male,98,Budget/Accounting Analyst IV,Manufacturing,High Net Worth,Yes,10,12351 Spenser Pass,2034,NSW,Australia,12,72,1.35,48.0
76,Male,0,Research Nurse,Health,Mass Customer,No,17,4 Valley Edge Plaza,2759,NSW,Australia,9,77,1.34140625,61.0
77,Female,36,Speech Pathologist,Health,Affluent Customer,Yes,13,1601 Rutledge Lane,3030,VIC,Australia,7,78,1.3375,66.0
78,Female,15,Computer Systems Analyst IV,Manufacturing,Mass Customer,Yes,13,0 Mockingbird Plaza,2212,NSW,Australia,10,78,1.3375,50.0
79,Female,15,Analyst Programmer,Entertainment,High Net Worth,No,6,1665 Kenwood Center,2518,NSW,Australia,6,78,1.3375,49.0
80,Male,53,Desktop Support Technician,Manufacturing,Mass Customer,No,15,5 4th Center,2097,NSW,Australia,12,78,1.3375,27.0
81,Female,34,Editor,Financial Services,Mass Customer,No,9,92214 Spenser Road,2756,NSW,Australia,8,78,1.3375,57.0
82,Female,14,,Financial Services,Mass Customer,No,5,5186 Main Trail,2046,NSW,Australia,9,78,1.3375,41.0
83,Male,58,Biostatistician IV,Manufacturing,High Net Worth,No,8,564 Forest Dale Avenue,3161,VIC,Australia,12,84,1.328125,47.0
84,Male,48,Database Administrator III,Manufacturing,High Net Worth,Yes,16,83 Old Gate Point,2576,NSW,Australia,10,85,1.325,61.0
85,Female,9,Engineer III,,High Net Worth,No,13,387 Dixon Alley,2024,NSW,Australia,10,85,1.325,73.0
86,Female,8,Assistant Media Planner,Entertainment,Affluent Customer,No,5,411 Twin Pines Way,2026,NSW,Australia,9,85,1.325,23.0
87,Male,5,GIS Technical Architect,,High Net Worth,No,13,12 Arapahoe Park,2035,NSW,Australia,12,88,1.31484375,80.0
88,Male,49,Physical Therapy Assistant,Manufacturing,Mass Customer,Yes,14,4915 Debra Center,2479,NSW,Australia,9,89,1.3125,72.0
89,Male,24,Structural Engineer,Health,Affluent Customer,No,16,76 Sunnyside Avenue,4670,QLD,Australia,2,89,1.3125,51.0
90,Male,93,Environmental Specialist,,Affluent Customer,No,15,1 Talisman Avenue,2125,NSW,Australia,10,89,1.3125,30.0
91,Female,34,Director of Sales,Health,Mass Customer,No,19,91164 Washington Terrace,2263,NSW,Australia,7,89,1.3125,44.0
92,Female,84,,Retail,Mass Customer,No,11,74 Carpenter Street,2015,NSW,Australia,9,89,1.3125,45.0
93,Male,94,Teacher,,Affluent Customer,Yes,14,6776 Anderson Center,4037,QLD,Australia,8,89,1.3125,70.0
94,Male,25,,,Mass Customer,No,12,1 Orin Hill,4510,QLD,Australia,5,89,1.3125,44.0
95,Male,91,,Manufacturing,High Net Worth,Yes,8,88 Annamark Avenue,2138,NSW,Australia,12,96,1.3,23.0
96,Male,18,Human Resources Assistant IV,Property,Mass Customer,Yes,15,37439 High Crossing Circle,3350,VIC,Australia,4,96,1.3,79.0
97,Male,60,Nurse Practicioner,Retail,Mass Customer,No,11,5 Nevada Point,4017,QLD,Australia,6,96,1.3,28.0
98,Male,26,Structural Engineer,Manufacturing,High Net Worth,No,11,67 Grayhawk Circle,2232,NSW,Australia,10,99,1.296875,50.0
99,Female,30,Structural Analysis Engineer,Manufacturing,High Net Worth,Yes,14,0 Meadow Ridge Street,3173,VIC,Australia,8,99,1.296875,22.0
100,Female,84,Associate Professor,Retail,Mass Customer,No,3,5 Quincy Street,4118,QLD,Australia,4,99,1.296875,31.0
101,Female,56,Dental Hygienist,Health,Mass Customer,No,12,13025 Johnson Plaza,4670,QLD,Australia,2,102,1.28828125,28.0
102,Male,19,Marketing Manager,Manufacturing,Mass Customer,No,9,966 Sunnyside Center,2390,NSW,Australia,2,102,1.28828125,82.0
103,Female,64,Staff Accountant IV,Financial Services,Affluent Customer,No,8,802 Mallory Park,3919,VIC,Australia,2,104,1.2875,42.0
104,Female,59,VP Sales,Financial Services,High Net Worth,Yes,15,93 Judy Drive,3047,VIC,Australia,6,104,1.2875,61.0
105,Male,50,Accountant III,IT,Mass Customer,Yes,16,94 Manitowish Court,4116,QLD,Australia,3,104,1.2875,76.0
106,Female,21,Recruiting Manager,Argiculture,Mass Customer,No,18,5013 Erie Crossing,2230,NSW,Australia,9,104,1.2875,59.0
107,Male,14,Sales Representative,Retail,High Net Worth,No,19,540 Sachs Road,3153,VIC,Australia,8,104,1.2875,50.0
108,Female,95,Human Resources Assistant II,,Mass Customer,No,5,422 Forster Circle,2340,NSW,Australia,1,104,1.2875,61.0
109,Female,1,,Manufacturing,Mass Customer,Yes,16,4275 Bluestem Pass,4000,QLD,Australia,8,104,1.2875,53.0
110,Female,95,Food Chemist,Health,Mass Customer,Yes,7,6 Anderson Junction,3802,VIC,Australia,7,111,1.28125,54.0
111,Male,37,Staff Scientist,Financial Services,Mass Customer,Yes,11,276 Westend Road,4207,QLD,Australia,5,111,1.28125,83.0
112,Male,72,Structural Engineer,,High Net Worth,No,14,69 Garrison Point,2223,NSW,Australia,11,111,1.28125,61.0
113,Female,0,VP Sales,IT,Mass Customer,No,5,65 Milwaukee Hill,3280,VIC,Australia,2,114,1.275,27.0
114,Female,53,Geologist IV,Manufacturing,Affluent Customer,No,18,4252 Dovetail Pass,4129,QLD,Australia,6,114,1.275,45.0
115,Male,45,,Health,Mass Customer,No,5,56 Riverside Street,2546,NSW,Australia,5,114,1.275,25.0
116,Male,64,Information Systems Manager,Telecommunications,Affluent Customer,Yes,17,7 Cascade Park,2089,NSW,Australia,9,114,1.275,76.0
117,Female,21,Junior Executive,Financial Services,High Net Worth,Yes,6,29307 Russell Avenue,3094,VIC,Australia,9,114,1.275,44.0
118,Male,37,Nurse Practicioner,Retail,Mass Customer,Yes,4,3 Mcguire Crossing,4510,QLD,Australia,7,114,1.275,35.0
119,Female,2,Automation Specialist II,Property,Mass Customer,Yes,7,6 Golf View Alley,2287,NSW,Australia,4,120,1.2625,70.0
120,Male,71,Software Consultant,Retail,Affluent Customer,No,4,83716 Russell Lane,2145,NSW,Australia,8,120,1.2625,41.0
121,Male,57,Desktop Support Technician,,Mass Customer,No,9,265 Stephen Trail,2209,NSW,Australia,10,120,1.2625,25.0
122,Female,86,Design Engineer,,High Net Worth,No,6,2 Charing Cross Trail,2759,NSW,Australia,8,120,1.2625,53.0
123,Female,3,Financial Analyst,Financial Services,Mass Customer,No,4,8350 Moulton Terrace,4500,QLD,Australia,4,120,1.2625,47.0
124,Male,44,Media Manager III,,High Net Worth,Yes,15,578 Waywood Circle,4306,QLD,Australia,5,125,1.26171875,81.0
125,Male,71,,Health,Mass Customer,Yes,6,9722 Northport Way,3500,VIC,Australia,3,125,1.26171875,66.0
126,Female,66,Social Worker,Health,Affluent Customer,No,21,7026 Katie Lane,3818,VIC,Australia,1,127,1.25,69.0
127,Male,13,Civil Engineer,Manufacturing,Mass Customer,Yes,9,8 Eggendart Pass,2835,NSW,Australia,1,127,1.25,47.0
128,Female,42,Editor,Retail,Mass Customer,No,12,1 Bluejay Place,4405,QLD,Australia,1,127,1.25,82.0
129,Female,51,Design Engineer,Retail,Affluent Customer,Yes,5,28970 Monument Lane,2560,NSW,Australia,7,127,1.25,32.0
130,Female,78,Geological Engineer,Manufacturing,Affluent Customer,Yes,5,235 Mendota Court,2650,NSW,Australia,2,127,1.25,60.0
131,Male,38,Payment Adjustment Coordinator,,Mass Customer,Yes,13,49309 Redwing Lane,3240,VIC,Australia,7,132,1.2484375,57.0
132,Female,11,,,Mass Customer,Yes,15,367 Bay Point,4011,QLD,Australia,4,133,1.2375,62.0
133,Male,29,,Manufacturing,Mass Customer,No,9,932 Glendale Avenue,2173,NSW,Australia,9,133,1.2375,37.0
134,Female,27,Graphic Designer,Manufacturing,Affluent Customer,Yes,14,492 Waywood Lane,2750,NSW,Australia,8,133,1.2375,44.0
135,Male,89,Staff Accountant II,,Mass Customer,No,19,12683 Mifflin Point,2114,NSW,Australia,7,133,1.2375,52.0
136,Female,90,Graphic Designer,Manufacturing,Affluent Customer,No,4,6160 Weeping Birch Hill,4509,QLD,Australia,5,133,1.2375,32.0
137,Male,28,Social Worker,Health,Mass Customer,Yes,16,7 Oakridge Lane,2284,NSW,Australia,4,133,1.2375,55.0
138,Female,12,Community Outreach Specialist,Financial Services,Mass Customer,Yes,12,0 Dexter Parkway,2380,NSW,Australia,3,133,1.2375,43.0
139,Female,60,Programmer Analyst II,Property,Mass Customer,Yes,3,75813 Lawn Lane,3081,VIC,Australia,8,133,1.2375,42.0
140,Male,92,Desktop Support Technician,Manufacturing,Affluent Customer,Yes,16,74613 Northport Park,3765,VIC,Australia,9,133,1.2375,56.0
141,Male,14,Pharmacist,Health,Affluent Customer,Yes,15,68 Karstens Pass,2176,NSW,Australia,9,142,1.23515625,21.0
142,Male,28,VP Marketing,Retail,Mass Customer,Yes,20,87254 Hermina Pass,4217,QLD,Australia,8,142,1.23515625,73.0
143,Male,6,Senior Cost Accountant,Financial Services,High Net Worth,Yes,17,801 Atwood Alley,2138,NSW,Australia,9,144,1.234375,47.0
144,Female,4,Senior Editor,Manufacturing,Mass Customer,No,6,2 Morrow Alley,4207,QLD,Australia,1,144,1.234375,41.0
145,Female,40,Sales Associate,Financial Services,Mass Customer,No,15,92934 Mallory Trail,2164,NSW,Australia,9,146,1.225,72.0
146,Female,82,Developer II,Manufacturing,Mass Customer,No,17,90820 Thackeray Street,2218,NSW,Australia,8,146,1.225,57.0
147,Male,38,VP Marketing,Retail,Mass Customer,No,16,48 Ludington Plaza,2153,NSW,Australia,10,146,1.225,53.0
148,Female,58,Teacher,Health,High Net Worth,No,19,49185 Derek Circle,3977,VIC,Australia,6,146,1.225,53.0
149,Female,39,,Property,Mass Customer,No,17,0721 Meadow Ridge Pass,2540,NSW,Australia,8,146,1.225,51.0
150,Female,60,Staff Accountant I,Health,Affluent Customer,Yes,4,115 Westridge Road,4570,QLD,Australia,3,146,1.225,55.0
151,Female,30,Environmental Tech,Manufacturing,Affluent Customer,Yes,14,7 Myrtle Lane,2324,NSW,Australia,8,152,1.221875,61.0
152,Male,61,VP Sales,Financial Services,Mass Customer,Yes,18,7795 Memorial Drive,2016,NSW,Australia,11,153,1.21875,53.0
153,Male,54,Account Coordinator,Health,Mass Customer,No,11,24695 Boyd Road,3201,VIC,Australia,5,154,1.203125,61.0
154,Male,6,Compensation Analyst,Financial Services,Mass Customer,No,9,95306 John Wall Avenue,4350,QLD,Australia,5,155,1.2,66.0
155,Female,74,Human Resources Assistant II,Property,Mass Customer,Yes,19,6704 Pine View Lane,2170,NSW,Australia,9,155,1.2,59.0
156,Female,89,Health Coach II,Financial Services,Mass Customer,No,21,98158 Alpine Point,4212,QLD,Australia,9,157,1.1953125,46.0
157,Female,16,Programmer Analyst III,Health,Mass Customer,No,7,33652 Lyons Alley,2763,NSW,Australia,9,158,1.1875,65.0
158,Female,4,Senior Quality Engineer,,Mass Customer,Yes,6,8 Debs Road,3934,VIC,Australia,9,158,1.1875,44.0
159,Male,27,Environmental Tech,,High Net Worth,No,10,101 Starling Pass,2564,NSW,Australia,9,158,1.1875,71.0
160,Male,37,Geologist III,Property,Affluent Customer,No,4,35151 Bunker Hill Crossing,2068,NSW,Australia,12,158,1.1875,36.0
161,Female,23,Health Coach II,Health,Mass Customer,Yes,10,2093 Amoth Pass,3109,VIC,Australia,11,158,1.1875,27.0
162,Female,60,Assistant Professor,Manufacturing,Affluent Customer,Yes,9,57343 Eagan Avenue,2326,NSW,Australia,2,163,1.18203125,53.0
163,Male,96,Account Representative III,,High Net Worth,Yes,19,83 Armistice Terrace,4011,QLD,Australia,3,163,1.18203125,71.0
164,Female,3,Director of Sales,,Mass Customer,Yes,3,5388 Burrows Alley,2073,NSW,Australia,11,163,1.18203125,43.0
165,Male,55,Clinical Specialist,Health,Mass Customer,No,4,5612 Toban Point,2227,NSW,Australia,10,166,1.175,46.0
166,Female,65,Assistant Professor,Financial Services,High Net Worth,No,12,65 Ridge Oak Court,2471,NSW,Australia,3,166,1.175,49.0
167,Female,55,Environmental Tech,Manufacturing,Mass Customer,Yes,8,74 Russell Terrace,4350,QLD,Australia,4,166,1.175,33.0
168,Female,99,Senior Developer,Retail,Affluent Customer,No,15,255 Loeprich Lane,3752,VIC,Australia,9,166,1.175,70.0
169,Male,33,Staff Scientist,Argiculture,Affluent Customer,No,13,67 Northport Avenue,3805,VIC,Australia,7,166,1.175,36.0
170,Female,42,Account Representative II,,Affluent Customer,No,14,823 Wayridge Trail,2205,NSW,Australia,9,166,1.175,67.0
171,Male,36,Help Desk Technician,Property,Mass Customer,Yes,10,5 Golf Terrace,2126,NSW,Australia,11,166,1.175,66.0
172,Male,60,VP Quality Control,Financial Services,Mass Customer,Yes,4,40809 Truax Way,2209,NSW,Australia,6,173,1.171875,33.0
173,Male,56,Assistant Manager,Manufacturing,Affluent Customer,Yes,16,1398 Burning Wood Way,3850,VIC,Australia,1,174,1.16875,27.0
174,Female,72,Research Assistant IV,Property,Mass Customer,No,5,3920 Swallow Junction,3038,VIC,Australia,8,174,1.16875,67.0
175,Female,54,Speech Pathologist,Telecommunications,High Net Worth,No,7,4 Warner Park,2146,NSW,Australia,9,174,1.16875,30.0
176,Female,79,Research Associate,,High Net Worth,Yes,9,534 Lien Lane,3122,VIC,Australia,7,177,1.1625,83.0
177,Male,51,Software Consultant,Manufacturing,Mass Customer,No,16,48 Shoshone Park,2066,NSW,Australia,9,177,1.1625,70.0
178,Male,92,Sales Representative,Retail,Mass Customer,Yes,13,170 Briar Crest Place,2120,NSW,Australia,10,177,1.1625,72.0
179,Female,71,Assistant Manager,Financial Services,Mass Customer,No,5,0193 Northland Street,4179,QLD,Australia,9,177,1.1625,47.0
180,Male,39,Assistant Manager,Health,High Net Worth,No,9,5219 Pearson Drive,2148,NSW,Australia,9,181,1.158125,57.0
181,Male,78,Junior Executive,Manufacturing,Mass Customer,No,18,6156 Summit Center,4352,QLD,Australia,7,181,1.158125,48.0
182,Male,36,Community Outreach Specialist,,High Net Worth,Yes,21,803 Badeau Point,2177,NSW,Australia,8,181,1.158125,76.0
183,Male,34,Computer Systems Analyst I,Manufacturing,Mass Customer,Yes,13,735 Westridge Road,2454,NSW,Australia,7,181,1.158125,48.0
184,Female,68,Account Representative IV,Property,Mass Customer,No,5,1190 Hanson Street,3806,VIC,Australia,9,181,1.158125,37.0
185,Male,65,Social Worker,Health,High Net Worth,Yes,3,370 Division Junction,3032,VIC,Australia,10,181,1.158125,30.0
186,Female,26,Senior Editor,Financial Services,High Net Worth,No,17,90 Northport Hill,2228,NSW,Australia,10,181,1.158125,51.0
187,Female,67,Payment Adjustment Coordinator,,Mass Customer,Yes,17,77785 Veith Lane,2766,NSW,Australia,8,188,1.15625,49.0
188,Female,7,Safety Technician I,Property,High Net Worth,No,9,232 Knutson Park,4060,QLD,Australia,10,188,1.15625,36.0
189,Male,74,VP Product Management,IT,Affluent Customer,No,10,25805 Eagan Place,2766,NSW,Australia,9,190,1.15546875,26.0
190,Female,32,Physical Therapy Assistant,Property,Affluent Customer,No,8,743 Debra Court,2117,NSW,Australia,11,191,1.15,30.0
191,Male,55,Clinical Specialist,Health,Mass Customer,Yes,7,6966 Delladonna Street,2250,NSW,Australia,8,191,1.15,84.0
192,Female,16,Human Resources Manager,Telecommunications,High Net Worth,No,10,98221 Pennsylvania Place,2170,NSW,Australia,8,191,1.15,52.0
193,Female,47,GIS Technical Architect,Argiculture,Mass Customer,No,7,307 Knutson Center,2226,NSW,Australia,10,191,1.15,53.0
194,Female,26,Dental Hygienist,Health,Mass Customer,Yes,11,593 Alpine Drive,3195,VIC,Australia,12,195,1.1475,78.0
195,Male,6,Analog Circuit Design manager,Property,Affluent Customer,No,16,45788 Stang Plaza,3687,VIC,Australia,3,195,1.1475,50.0
196,Female,60,Business Systems Development Analyst,,High Net Worth,No,7,96515 Di Loreto Pass,4109,QLD,Australia,9,195,1.1475,41.0
197,Female,66,Information Systems Manager,,High Net Worth,No,2,8625 Dakota Plaza,2210,NSW,Australia,9,195,1.1475,32.0
198,Male,44,Environmental Tech,,Affluent Customer,No,3,02 Hoffman Road,2448,NSW,Australia,3,195,1.1475,29.0
199,Female,55,Geological Engineer,Manufacturing,High Net Worth,Yes,12,496 Logan Center,4207,QLD,Australia,4,195,1.1475,56.0
200,Male,70,,,Mass Customer,Yes,13,6065 Talisman Crossing,3977,VIC,Australia,7,201,1.1421875,82.0
201,Female,84,,Health,Mass Customer,No,15,72 Eliot Place,2250,NSW,Australia,8,202,1.140625,63.0
202,Male,47,General Manager,Manufacturing,Affluent Customer,Yes,21,67 Bluejay Plaza,2300,NSW,Australia,9,202,1.140625,77.0
203,Female,44,Analyst Programmer,Retail,Mass Customer,Yes,7,518 Paget Hill,4605,QLD,Australia,1,202,1.140625,70.0
204,Male,2,Recruiting Manager,,Mass Customer,No,2,87107 Shelley Crossing,2429,NSW,Australia,7,202,1.140625,24.0
205,Female,19,Senior Sales Associate,,Affluent Customer,Yes,12,3 Mallory Circle,2170,NSW,Australia,8,206,1.1375,74.0
206,Male,31,Research Assistant II,Telecommunications,Affluent Customer,No,9,1582 Bashford Drive,4018,QLD,Australia,7,206,1.1375,46.0
207,Female,70,,,Mass Customer,Yes,11,3 Homewood Park,2756,NSW,Australia,7,206,1.1375,67.0
208,Female,12,Social Worker,Health,High Net Worth,No,19,06 Old Gate Park,2144,NSW,Australia,9,206,1.1375,64.0
209,Male,92,Financial Analyst,Financial Services,Affluent Customer,No,4,49 Surrey Point,4710,QLD,Australia,4,206,1.1375,55.0
210,Male,32,Senior Cost Accountant,Financial Services,Mass Customer,No,16,59254 Northland Alley,2032,NSW,Australia,10,206,1.1375,55.0
211,Male,82,,Health,High Net Worth,Yes,5,4 North Drive,2168,NSW,Australia,8,212,1.136875,39.0
212,Male,12,Chief Design Engineer,Retail,Mass Customer,No,6,89 Parkside Street,3021,VIC,Australia,6,212,1.136875,25.0
